table,device,orientation,R1,R2,inclination_deg,effective_SC,source_pdf_page
C14,horizontal_projection,North-East & North-West,0.9,,50,0.4919,44
C14,horizontal_projection,North-East & North-West,1.0,,0,0.5922,44
C14,horizontal_projection,North-East & North-West,1.0,,10,0.5560,44
C14,horizontal_projection,North-East & North-West,1.0,,20,0.5261,44
C14,horizontal_projection,North-East & North-West,1.0,,30,0.5051,44
C14,horizontal_projection,North-East & North-West,1.0,,40,0.4900,44
C14,horizontal_projection,North-East & North-West,1.0,,50,0.4826,44
C14,horizontal_projection,North-East & North-West,1.1,,0,0.5809,44
C14,horizontal_projection,North-East & North-West,1.1,,10,0.5440,44
C14,horizontal_projection,North-East & North-West,1.1,,20,0.5148,44
C14,horizontal_projection,North-East & North-West,1.1,,30,0.4939,44
C14,horizontal_projection,North-East & North-West,1.1,,40,0.4840,44
C14,horizontal_projection,North-East & North-West,1.1,,50,0.4790,44
C14,horizontal_projection,North-East & North-West,1.2,,0,0.5722,44
C14,horizontal_projection,North-East & North-West,1.2,,10,0.5321,44
C14,horizontal_projection,North-East & North-West,1.2,,20,0.5046,44
C14,horizontal_projection,North-East & North-West,1.2,,30,0.4877,44
C14,horizontal_projection,North-East & North-West,1.2,,40,0.4809,44
C14,horizontal_projection,North-East & North-West,1.2,,50,0.4759,44
C14,horizontal_projection,North-East & North-West,1.3,,0,0.5634,44
C14,horizontal_projection,North-East & North-West,1.3,,10,0.5243,44
C14,horizontal_projection,North-East & North-West,1.3,,20,0.4971,44
C14,horizontal_projection,North-East & North-West,1.3,,30,0.4850,44
C14,horizontal_projection,North-East & North-West,1.3,,40,0.4782,44
C14,horizontal_projection,North-East & North-West,1.3,,50,0.4759,44
C14,horizontal_projection,North-East & North-West,1.4,,0,0.5547,44
C14,horizontal_projection,North-East & North-West,1.4,,10,0.5165,44
C14,horizontal_projection,North-East & North-West,1.4,,20,0.4921,44
C14,horizontal_projection,North-East & North-West,1.4,,30,0.4825,44
C14,horizontal_projection,North-East & North-West,1.4,,40,0.4759,44
C14,horizontal_projection,North-East & North-West,1.4,,50,0.4759,44
C14,horizontal_projection,North-East & North-West,1.5,,0,0.5466,44
C14,horizontal_projection,North-East & North-West,1.5,,10,0.5086,44
